Autor_x,Autor_y,Trabalhos_Juntos
ANDRÉ SANTANCHÈ,MATHEUS SILVA MOTA,2
EDLENO SILVA DE MOURA,MARCO A. CRISTO,2
AGMA JUCI MACHADO TRAINA,CHRISTOS FALOUTSOS,2
AGMA JUCI MACHADO TRAINA,CRISTINA DUTRA DE AGUIAR CIFERRI,2
AGMA JUCI MACHADO TRAINA,DANIEL DE OLIVEIRA,2
EDUARDO CUNHA DE ALMEIDA,YVES LE TRAON,2
AGMA JUCI MACHADO TRAINA,FABIO J. T. CHINO,2
DORGIVAL GUEDES NETO,WAGNER MEIRA JR.,2
CLÁUDIO DE SOUZA BAPTISTA,CLÁUDIO E. C. CAMPELO,2
ALTIGRAN SOARES DA SILVA,ELI CORTEZ,2
DOMINIQUE LAURENT,SANDRA DE AMO,2
DANIEL DE OLIVEIRA,JONAS DIAS,2
DENIO DUARTE,GUILLHERME DAL BIANCO,2
DANIEL DE OLIVEIRA,VANESSA BRAGANHOLO,2
ALTIGRAN SOARES DA SILVA,MARCO A. CRISTO,2
AGMA JUCI MACHADO TRAINA,LUCAS C. SCABORA,2
AGMA JUCI MACHADO TRAINA,LUIZ OLMES CARVALHO,2
AGMA JUCI MACHADO TRAINA,MARCELA XAVIER RIBEIRO,2
AGMA JUCI MACHADO TRAINA,MARCO A. GUTIERREZ,2
AGMA JUCI MACHADO TRAINA,MARCOS R. VIEIRA,2
AGMA JUCI MACHADO TRAINA,MIRELA TEIXEIRA CAZZOLATO,2
ALTIGRAN SOARES DA SILVA,NIVIO ZIVIANI,2
ANDRÊZA LEITE DE ALENCAR,MARIAMA C. S. DE OLIVEIRA,2
EDUARDO CUNHA DE ALMEIDA,TIAGO RODRIGO KEPE,2
AGMA JUCI MACHADO TRAINA,RICHARD CHBEIR,2
AGMA JUCI MACHADO TRAINA,ROBSON LEONARDO FERREIRA CORDEIRO,2
DANILO B. SEUFITELLI,MIRELLA M. MORO,2
AGMA JUCI MACHADO TRAINA,SANTIAGO AUGUSTO NUNES,2
CLÁUDIO E. C. CAMPELO,SALATIEL DANTAS SILVA,2
EDIMAR MANICA,RENATA GALANTE,2
