Autor_x,Autor_y,Trabalhos_Juntos
ANA C. S. GOMES,EDUARDO C. CARVALHO,1
ANA C. S. GOMES,RAFAEL L. ROCHA,1
ANA C. S. GOMES,RENATO C. FERREIRA,1
ANA CAROLINA M. PIRES,CAROLINA O. P. GIL,1
ANA CAROLINA M. PIRES,DHARA AVELINO-ALVES,1
ANA CAROLINA M. PIRES,FERNANDA O. F. SCHMIDT,1
ANA CAROLINA M. PIRES,FLÁVIO F. NOBRE,1
ANA CAROLINA M. PIRES,NATHÁLIA S. C. SANTOS,1
ANA CAROLINA M. PIRES,ODARA A. OLIVEIRA,1
ANA CAROLINA M. PIRES,PRISCILA C. ALVES,1
ANA CAROLINA SALGADO,BERNADETTE FARIAS LÓSCIO,1
ANA CAROLINA SALGADO,DANIEL FIGUEIREDO,1
ANA CAROLINA SALGADO,DANIEL SCHWABE,1
ANA CAROLINA SALGADO,DANIELA PITTA,1
ANA CAROLINA SALGADO,EDWARD HERMANN HAEUSLER,1
ANA CAROLINA SALGADO,EVERALDO COSTA NETO,1
ANA CAROLINA SALGADO,JOHNY MOREIRA,1
ANA CAROLINA SALGADO,LUCIANO BARBOSA,1
ANA CAROLINA SALGADO,MARIA DA CONCEIÇÃO M. BATISTA,1
ANA CAROLINA SALGADO,PAULO ORLANDO QUEIROZ-SOUSA,1
ANA CAROLINA SALGADO,RAFAEL PEREIRA DE OLIVEIRA,1
ANA CAROLINA SALGADO,RAPHAEL MARINS,1
ANA CAROLINA SALGADO,ROSALIE B. BELIAN,1
ANA CAROLINA SALGADO,SÉRGIO LIFSCHITZ,1
ANA CHRISTINA DE OLIVEIRA BRINGUENTE,GIANCARLO GUIZZARDI,1
ANA CHRISTINA DE OLIVEIRA BRINGUENTE,RICARDO DE ALMEIDA FALBO,1
ANA CRISTINA FRANCO DA SILVA,BERNHARD MITSCHANG,1
ANA CRISTINA FRANCO DA SILVA,MATTHIAS WIELAND,1
ANA CRISTINA FRANCO DA SILVA,PASCAL HIRMER,1
ANA EMÍLIA GOULART LEMOS,CARLYLE RIBEIRO LIMA,1
ANA EMÍLIA GOULART LEMOS,FRANKLIN SOUZA DA SILVA,1
ANA EMÍLIA GOULART LEMOS,GILBERTO FERREIRA DA SILVA,1
ANA EMÍLIA GOULART LEMOS,MILENA MAGALHÃES,1
ANA EMÍLIA GOULART LEMOS,NICOLAS CARELS,1
ANA GABRIELLE RAMOS FALCÃO,CLÁUDIO DE SOUZA BAPTISTA,1
ANA GABRIELLE RAMOS FALCÃO,CLÁUDIO E. C. CAMPELO,1
ANA GABRIELLE RAMOS FALCÃO,JOSÉ AMILTON MOURA ACIOLI FILHO,1
ANA GABRIELLE RAMOS FALCÃO,MAXWELL GUIMARÃES DE OLIVEIRA,1
ANA L. C. BAZZAN,ARTHUR PROCHNOW BAUMGARDT,1
ANA L. C. BAZZAN,G. D. DOS SANTOS,1
ANA L. C. BAZZAN,GUILHERME D. DOS SANTOS,1
ANA L. C. BAZZAN,H. U. GOBBI,1
ANA LUIZA SANCHES,BÁRBARA GABRIELLE C. O. LOPES,1
ANA LUIZA SANCHES,DANIEL HASAN DALIP,1
ANA LUIZA SANCHES,SINVAL DE DEUS VIEIRA JÚNIOR,1
ANA LÚCIA MARREIROS MAIA,JOSÉ SOLENIR LIMA FIGUERÊDO,1
ANA LÚCIA MARREIROS MAIA,RODRIGO TRIPODI CALUMBY,1
ANA MARIA H. ÁVILA,JURANDIR ZULLO JR.,1
ANA MARIA H. ÁVILA,PRISCILA P. COLTRI,1
ANA PAULA APPEL,CAETANO TRAINA JÚNIOR,1
ANA PAULA APPEL,ESTEVAM RAFAEL HRUSCHKA JUNIOR,1
ANA PAULA C. DA SILVA,BRENO C. PIMENTA,1
ANA PAULA C. DA SILVA,GUILHERME A. SOUSA,1
ANA PAULA C. DA SILVA,IGOR MARQUES,1
ANA PAULA C. DA SILVA,ISADORA SALLES,1
ANA PAULA C. DA SILVA,JOÃO M. M. COUTO,1
ANA PAULA C. DA SILVA,JULIO C. S. REIS,1
ANA PAULA C. DA SILVA,JUSSARA MARQUES ALMEIDA,1
ANA PAULA C. DA SILVA,LAIS M. A. ROCHA,1
ANA PAULA C. DA SILVA,MICHELE A. BRANDÃO,1
ANA PAULA C. DA SILVA,NATÉRCIA A. BATISTA,1
ANA PAULA C. DA SILVA,SAMUEL ASSIS,1
ANA PAULA C. DA SILVA,THIAGO H. P. SILVA,1
ANA PAULA DE CARVALHO,ANDERSON A. FERREIRA,1
ANA PAULA DE CARVALHO,MARCOS ANDRÉ GONÇALVES,1
ANA PAULA REINALDO,ARION DE CAMPOS JR.,1
ANA PAULA REINALDO,CARMEM S. HARA,1
ANA PAULA REINALDO,DAVI ARNAUT,1
ANA PAULA REINALDO,EDUARDO A. RIBAS,1
ANA PAULA REINALDO,RONEY UBA,1
ANDERSON A. FERREIRA,ANDREA IABRUDI TAVARES,1
ANDERSON A. FERREIRA,DAVID MENOTTI GOMES,1
ANDERSON A. FERREIRA,GUILHERME TAVARES DE ASSIS,1
ANDERSON A. FERREIRA,LUCIANO VILAS BOAS ESPERIDIÃO,1
ANDERSON A. FERREIRA,TALES MOTA MACHADO,1
ANDERSON ALMEIDA FIRMINO,ANDRÉ LUIZ FIRMINO ALVES,1
ANDERSON ALMEIDA FIRMINO,ANSELMO CARDOSO DE PAIVA,1
ANDERSON ALMEIDA FIRMINO,CLÁUDIO DE SOUZA BAPTISTA,1
ANDERSON ALMEIDA FIRMINO,MAXWELL GUIMARÃES DE OLIVEIRA,1
ANDERSON C. SILVA,DANIEL N. R. DA SILVA,1
ANDERSON C. SILVA,FABIO PORTO,1
ANDERSON C. SILVA,HERMANO L. S. LUSTOSA,1
ANDERSON C. SILVA,PATRICK VALDURIEZ,1
ANDERSON CHAVES CARNIEL,ANTONIO CORRAL,1
ANDERSON CHAVES CARNIEL,GEORGE ROUMELIS,1
ANDERSON CHAVES CARNIEL,MICHAEL VASSILAKOPOULOS,1
ANDERSON CHAVES CARNIEL,PEDRO GABRIEL KOHL BERTELLA,1
ANDERSON CHAVES CARNIEL,RAFAEL ALVES PAES DE OLIVEIRA,1
ANDERSON CHAVES CARNIEL,YURI KASZUBOWSKI LOPES,1
ANDERSON U. KAUER,EDSON R. D. WEREN,1
ANDERSON U. KAUER,J. PALAZZO M. DE OLIVEIRA,1
ANDERSON U. KAUER,LEANDRO K. WIVES,1
ANDERSON U. KAUER,LUCAS MIZUSAKI,1
ANDERSON U. KAUER,VIVIANE PEREIRA MOREIRA,1
ANDRE C. HORA,CLODOVEU AUGUSTO DAVIS JR.,1
ANDRE C. HORA,MIRELLA M. MORO,1
ANDRE DALLA BERNARDINA GARCIA,DARLAN  TELES DA SILVA,1
ANDRE DALLA BERNARDINA GARCIA,IEDA  DEL'ARCO SANCHES,1
ANDRE DALLA BERNARDINA GARCIA,KLEBER  TRABAQUINI,1
ANDRE DALLA BERNARDINA GARCIA,MICHEL  EUSTÁQUIO DANTAS CHAVES,1
ANDRE DALLA BERNARDINA GARCIA,VICTOR HUGO  ROHDEN PRUDENTE,1
ANDRE LUIZ DA COSTA CARVALHO,EDLENO SILVA DE MOURA,1
ANDRE LUIZ DA COSTA CARVALHO,PÁVEL CALADO,1
ANDRE S. FURTADO,CHIARA RENSO,1
ANDRE S. FURTADO,RENATO FILETO,1
ANDREA IABRUDI TAVARES,DAVID MENOTTI GOMES,1
ANDREA IABRUDI TAVARES,GUILHERME TAVARES DE ASSIS,1
ANDREA IABRUDI TAVARES,LUCIANO VILAS BOAS ESPERIDIÃO,1
ANDREA IABRUDI TAVARES,MARCOS ANDRÉ GONÇALVES,1
ANDREI DE SOUZA INÁCIO,HARLEY MICHEL WAGNER,1
ANDREI DE SOUZA INÁCIO,LEONARDO ANDRADE RIBEIRO,1
ANDREI DE SOUZA INÁCIO,NATÁLIA CRISTINA SCHNEIDER,1
ANDREI L. QUEIROZ,FELIPE X. B. DA SILVA,1
ANDREI L. QUEIROZ,GABRIEL M. C. GUIMARÃES,1
ANDREI L. QUEIROZ,LUCAS A. B. MACEDO,1
ANDREI L. QUEIROZ,RICARDO MARCONDES MARCACINI,1
ANDREI L. QUEIROZ,THIAGO P. FALEIROS,1
ANDREI L. QUEIROZ,VICTOR H. F. LISBOA,1
ANDREI L. QUEIROZ,VINICIUS R. P. BORGES,1
ANDRESSON DA SILVA FIRMINO,CRISTINA DUTRA DE AGUIAR CIFERRI,1
ANDRESSON DA SILVA FIRMINO,LUCIDIO FORMIGA CABRAL,1
ANDRESSON DA SILVA FIRMINO,RICARDO RODRIGUES CIFERRI,1
ANDRESSON DA SILVA FIRMINO,RODRIGO COSTA MATEUS,1
ANDRESSON DA SILVA FIRMINO,THIAGO LUÍS LOPES SIQUEIRA,1
ANDRESSON DA SILVA FIRMINO,VALÉRIA CESÁRIO TIMES,1
ANDREZA FRANCISCO MARTINS,GERDA CRISTAL VILLALBA SILVA,1
ANDREZA FRANCISCO MARTINS,MARIANA RECAMONDE-MENDOZA,1
ANDREZA FRANCISCO MARTINS,OTÁVIO VON AMELN LOVISON,1
ANDREZA FRANCISCO MARTINS,RAFAELA RAMALHO GUERRA,1
ANDREZA FRANCISCO MARTINS,THAYNE WOYCINCK KOWALSKI,1
ANDREZA FRANCISCO MARTINS,URSULA MATTE,1
ANDRÉ A. BERTONI,RODRIGO P. LEMOS,1
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,CLAUS DE C. ARANHA,1
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,DAVID B. FERNANDES,1
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,EDUARDO R. HRUSCHKA,1
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,GABRIEL MONTEIRO FERRACIOLI,1
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,ICARO M. MIRANDA,1
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,JAVIER ZAMBRANO FERREIRA,1
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,JOSIANE RODRIGUES,1
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,MARCO A. CRISTO,1
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,MOISÉS ROCHA DOS SANTOS,1
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,PEDRO B. PIO,1
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,RODRIGO C. BARROS,1
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,THIAGO F. COVÕES,1
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,THIAGO H. P. SILVA,1
ANDRÉ FONSECA AMÂNCIO,TIAGO GARCIA DE SENNA CARNEIRO,1
ANDRÉ L. C. MENDONÇA,EDUARDO R. DUARTE NETO,1
ANDRÉ L. C. MENDONÇA,JAVAM C. MACHADO,1
ANDRÉ L. C. RÊGO,DANIEL S. GUIMARÃES,1
ANDRÉ L. C. RÊGO,EDWARD HERMANN HAEUSLER,1
ANDRÉ L. C. RÊGO,JEFFERSON B. SANTOS,1
ANDRÉ L. C. RÊGO,MARCOS V. VILLAS,1
ANDRÉ L. C. RÊGO,MARIANA D. A. SALGUEIRO,1
ANDRÉ L. C. RÊGO,SÉRGIO LIFSCHITZ,1
ANDRÉ L. C. RÊGO,VERONICA DOS SANTOS,1
ANDRÉ LUIZ FIRMINO ALVES,ANSELMO CARDOSO DE PAIVA,1
ANDRÉ LUIZ FIRMINO ALVES,CLÁUDIO DE SOUZA BAPTISTA,1
ANDRÉ LUIZ FIRMINO ALVES,MAXWELL GUIMARÃES DE OLIVEIRA,1
ANDRÉ MEDEIROS,ANGELO BRAYNER,1
ANDRÉ MEDEIROS,ARISTÊNIO SARAIVA,1
ANDRÉ MEDEIROS,GUSTAVO CAMPOS,1
ANDRÉ MEDEIROS,JOSÉ MARIA MONTEIRO,1
ANDRÉ MEDEIROS,PEDRO HOLANDA,1
ANDRÉ MEDEIROS,SÉRGIO LIFSCHITZ,1
ANDRÉ MEDIOTE DE SOUSA,KARIN BECKER,1
ANDRÉ NASCIMENTO,ANDRÊZA LEITE DE ALENCAR,1
ANDRÉ NASCIMENTO,IBSEN MATEUS BITTENCOURT,1
ANDRÉ NASCIMENTO,RAFAEL FERREIRA MELLO,1
ANDRÉ SANTANCHÈ,EDMUNDO R. M. MADEIRA,1
ANDRÉ SANTANCHÈ,ELIANE MARTINS,1
ANDRÉ SANTANCHÈ,GENEVIÈVE JOMIER,1
ANDRÉ SANTANCHÈ,GEOVANE C. MAGALHÂES,1
ANDRÉ SANTANCHÈ,IVELIZE R. BERNARDO,1
ANDRÉ SANTANCHÈ,JOÃO SÁVIO C. LONGO,1
ANDRÉ SANTANCHÈ,JULIO CESAR DOS REIS,1
ANDRÉ SANTANCHÈ,MARIA CECILIA C. BARANAUSKAS,1
ANDRÉ SANTANCHÈ,MICHEL ZAM,1
ANDRÉ SANTANCHÈ,NEUCIMAR A. LEITE,1
ANDRÉ SANTANCHÈ,RICARDO DA S. TORRES,1
ANDRÉ SANTANCHÈ,SANDRA GOUTTE,1
ANDRÉA MAGALHÃES,DANIEL DE OLIVEIRA,1
ANDRÉA MAGALHÃES,MARIA LUIZA FALCI,1
ANDRÉA MAGALHÃES,VANESSA BRAGANHOLO,1
ANDRÊZA LEITE DE ALENCAR,ANTÔNIO RICARDO K. CUNHA,1
ANDRÊZA LEITE DE ALENCAR,IBSEN MATEUS BITTENCOURT,1
ANDRÊZA LEITE DE ALENCAR,LUCAS HENRIQUE G. DE SALES,1
ANDRÊZA LEITE DE ALENCAR,PABLO IVAN P. RAMOS,1
ANDRÊZA LEITE DE ALENCAR,RAFAEL FERREIRA MELLO,1
ANGELO AUGUSTO FROZZA,EDUARDO DIAS DEFREYN,1
ANGELO AUGUSTO FROZZA,RONALDO DOS SANTOS MELLO,1
ANGELO BATISTA NEVES,JAVIER GUILLOT JIMÉNEZ,1
ANGELO BATISTA NEVES,LUIZ ANDRÉ P. PAES LEME,1
ANGELO BATISTA NEVES,MARCO ANTONIO CASANOVA,1
ANGELO BATISTA NEVES,YENIER TORRES IZQUIERDO,1
ANGELO BRAYNER,ARISTÊNIO SARAIVA,1
ANGELO BRAYNER,ARLINO H. M. DE ARAÚJO,1
ANGELO BRAYNER,EDUARDO LUSTOSA,1
ANGELO BRAYNER,ERIKO WERBET,1
ANGELO BRAYNER,FLÁVIO R. C. SOUSA,1
ANGELO BRAYNER,GUSTAVO CAMPOS,1
ANGELO BRAYNER,JOSÉ DE AGUIAR MORAES FILHO,1
ANGELO BRAYNER,JOÃO PAULO PORDEUS,1
ANGELO CESAR MENDES DA SILVA,DIEGO MINATEL,1
ANGELO CESAR MENDES DA SILVA,MARIANA CÚRI,1
ANGELO CESAR MENDES DA SILVA,NÍCOLAS ROQUE DOS SANTOS,1
ANGELO CESAR MENDES DA SILVA,RICARDO MARCONDES MARCACINI,1
ANGÉLICA FÉLIX DE CASTRO,ISAAC DE LIMA OLIVEIRA FILHO,1
ANGÉLICA FÉLIX DE CASTRO,MARCELINO PEREIRA DOS SANTOS SILVA,1
ANGÉLICA FÉLIX DE CASTRO,MARIA ADRIANA FERREIRA DA SILVA,1
ANISIO LACERDA,BÁRBARA M. A. MENDES,1
ANISIO LACERDA,CLARA A. BACHA,1
ANISIO LACERDA,FABIANO BOTELHO,1
ANISIO LACERDA,LARISSA D. GOMIDE,1
ANISIO LACERDA,LUCAS L. COSTA,1
ANISIO LACERDA,MARCO A. CRISTO,1
ANISIO LACERDA,OSVALDO MATOS-JUNIOR,1
ANISIO LACERDA,THALES F. COSTA,1
ANNATERCIA GOMES PINHEIRO,MARIA LUIZA MACHADO CAMPOS,1
ANNATERCIA GOMES PINHEIRO,SÉRGIO MANUEL  SERRA DA CRUZ,1
ANSELMO CARDOSO DE PAIVA,CLÁUDIO DE SOUZA BAPTISTA,1
ANSELMO CARDOSO DE PAIVA,MAXWELL GUIMARÃES DE OLIVEIRA,1
ANTONIO A. F. LOUREIRO,CLAYSON CELES,1
ANTONIO A. F. LOUREIRO,CLÁUDIO GUSTAVO S. CAPANEMA,1
ANTONIO A. F. LOUREIRO,FABRÍCIO A. SILVA,1
ANTONIO A. F. LOUREIRO,HERVÉ MARTIN,1
ANTONIO A. F. LOUREIRO,ROSSANA M. C. ANDRADE,1
ANTONIO A. F. LOUREIRO,TALES P. NOGUEIRA,1
ANTONIO A. F. LOUREIRO,THAIS R. M. BRAGA SILVA,1
ANTONIO CORRAL,CRISTINA DUTRA DE AGUIAR CIFERRI,1
ANTONIO CORRAL,GEORGE ROUMELIS,1
ANTONIO CORRAL,MICHAEL VASSILAKOPOULOS,1
ANTONIO CORRAL,RICARDO RODRIGUES CIFERRI,1
ANTONIO L. FURTADO,KARIN K. BREITMAN,1
ANTONIO L. FURTADO,MARCO ANTONIO CASANOVA,1
ANTONIO L. FURTADO,SIMONE D. J. BARBOSA,1
ANTONIO LUIZ P. RIBEIRO,D. M. OLIVEIRA,1
ANTONIO LUIZ P. RIBEIRO,J. A. O. PEDROSA,1
ANTONIO LUIZ P. RIBEIRO,WAGNER MEIRA JR.,1
ANTÔNIO JOSÉ C. RODRIGUES,PEDRO R. ANDRADE,1
ANTÔNIO JOSÉ C. RODRIGUES,TIAGO GARCIA DE SENNA CARNEIRO,1
ANTÔNIO P. S. ALVES,CARLOS MAGNO G. BARBOSA,1
ANTÔNIO P. S. ALVES,CAROLINA R. XAVIER,1
ANTÔNIO P. S. ALVES,LUCAS GABRIEL DA S. FELIX,1
ANTÔNIO P. S. ALVES,VINICIUS DA F. VIEIRA,1
ANTÔNIO P. S. ALVES,VITOR E. DO CARMO,1
ANTÔNIO RICARDO K. CUNHA,LUCAS HENRIQUE G. DE SALES,1
ANTÔNIO RICARDO K. CUNHA,PABLO IVAN P. RAMOS,1
ARION DE CAMPOS JR.,CARMEM S. HARA,1
ARION DE CAMPOS JR.,DAVI ARNAUT,1
ARION DE CAMPOS JR.,EDUARDO A. RIBAS,1
ARION DE CAMPOS JR.,RONEY UBA,1
ARISTÊNIO SARAIVA,GUSTAVO CAMPOS,1
ARISTÊNIO SARAIVA,JOSÉ MARIA MONTEIRO,1
ARISTÊNIO SARAIVA,PEDRO HOLANDA,1
ARISTÊNIO SARAIVA,SÉRGIO LIFSCHITZ,1
ARLEI SILVA,CARLOS H. C. TEIXEIRA,1
ARLEI SILVA,WAGNER MEIRA JR.,1
ARLINO H. M. DE ARAÚJO,JOSÉ ANTÔNIO FERNANDES DE MACEDO,1
ARLINO H. M. DE ARAÚJO,JOSÉ MARIA MONTEIRO,1
ARLINO H. M. DE ARAÚJO,JÚLIO A. TAVARES,1
ARLINO H. M. DE ARAÚJO,SÉRGIO LIFSCHITZ,1
ARNO SCHARL,GERHARD WOHLGENANNT,1
ARNO SCHARL,MARTA SABOU,1
ARNO SCHARL,STEFAN GINDL,1
ARTHUR EMANUEL DE OLIVEIRA CAROSIA,CRISTINA DUTRA DE AGUIAR CIFERRI,1
ARTHUR EMANUEL DE OLIVEIRA CAROSIA,RICARDO RODRIGUES CIFERRI,1
ARTHUR F. DA COSTA,MARCELO G. MANZATO,1
ARTHUR F. DA COSTA,RICARDO J. G. B. CAMPELLO,1
ARTHUR PROCHNOW BAUMGARDT,GUILHERME D. DOS SANTOS,1
ARTUR ZIVIANI,CRISTIANE GEA,1
ARTUR ZIVIANI,FLAVIA DELICATO,1
ARTUR ZIVIANI,JANIO LIMA,1
ARTUR ZIVIANI,LAIS BARONI,1
ARTUR ZIVIANI,LUCIANA ESCOBAR,1
ARTUR ZIVIANI,PAULO PIRES,1
ARTUR ZIVIANI,REBECCA SALLES,1
ASTERIO TANAKA,DIEGO PEREIRA,1
ASTERIO TANAKA,FERNANDA BAIÃO,1
ASTERIO TANAKA,LEONARDO GUERREIRO AZEVEDO,1
ATSLANDS ROCHA,DIEINISON J. F. BRAGA,1
ATSLANDS ROCHA,GUSTAVO COUTINHO,1
ATSLANDS ROCHA,JOSÉ ANTÔNIO FERNANDES DE MACEDO,1
ATSLANDS ROCHA,PAULO T. GUERRA,1
ATSLANDS ROCHA,REGIS PIRES MAGALHÃES,1
ATSLANDS ROCHA,SIMONE D. J. BARBOSA,1
ATSLANDS ROCHA,TICIANA LINHARES COELHO DA SILVA,1
AURELIO RIBEIRO COSTA,CÉLIA GHEDINI RALHA,1
AURELIO RIBEIRO COSTA,VANESSA TAVARES NUNES,1
BEATRIZ F. P. DE OLIVEIRA,EDWARD RIBEIRO,1
BEATRIZ F. P. DE OLIVEIRA,MARCIO VICTORINO,1
BEATRIZ F. P. DE OLIVEIRA,MARISTELA HOLANDA,1
BERNADETTE FARIAS LÓSCIO,CARLOS EDUARDO S. PIRES,1
BERNADETTE FARIAS LÓSCIO,DAMIRES SOUZA,1
BERNADETTE FARIAS LÓSCIO,DANUSA R. B. CUNHA,1
BERNADETTE FARIAS LÓSCIO,EVELINE R. SACRAMENTO,1
BERNADETTE FARIAS LÓSCIO,FERNANDA LÍGIA R. LOPES,1
BERNADETTE FARIAS LÓSCIO,GLÓRIA DE FÁTIMA B. LIMA,1
BERNADETTE FARIAS LÓSCIO,JOSÉ ANTÔNIO FERNANDES DE MACEDO,1
BERNADETTE FARIAS LÓSCIO,MARCELO IURY S. OLIVEIRA,1
BERNADETTE FARIAS LÓSCIO,MARCO ANTONIO CASANOVA,1
BERNADETTE FARIAS LÓSCIO,MARIA DA CONCEIÇÃO M. BATISTA,1
BERNADETTE FARIAS LÓSCIO,ROSALIE B. BELIAN,1
BERNADETTE FARIAS LÓSCIO,VANIA MARIA P. VIDAL,1
BERNHARD MITSCHANG,HOLGER SCHWARZ,1
BERNHARD MITSCHANG,MATTHIAS WIELAND,1
BERNHARD MITSCHANG,PASCAL HIRMER,1
BERNHARD MITSCHANG,PETER REIMANN,1
BERTHIER RIBEIRO-NETO,EDLENO SILVA DE MOURA,1
BERTHIER RIBEIRO-NETO,MARCOS ANDRÉ GONÇALVES,1
BERTHIER RIBEIRO-NETO,NIVIO ZIVIANI,1
BIANCA ZADROZNY,CELSO RIBEIRO,1
BRAULIO V. SÁNCHEZ VINCES,ROBSON LEONARDO FERREIRA CORDEIRO,1
BRENO C. PIMENTA,IGOR MARQUES,1
BRENO C. PIMENTA,ISADORA SALLES,1
BRENO C. PIMENTA,JOÃO M. M. COUTO,1
BRENO C. PIMENTA,JULIO C. S. REIS,1
BRENO C. PIMENTA,JUSSARA MARQUES ALMEIDA,1
BRENO C. PIMENTA,SAMUEL ASSIS,1
BRENO CERQUEIRA,GUSTAVO CRUZ,1
BRENO CERQUEIRA,PATRÍCIA MAIA,1
BRENO CERQUEIRA,WAGNER MEIRA JR.,1
BRUNA  HENRIQUE SACRAMENTO,FABIANA DA SILVA SOARES,1
BRUNA  HENRIQUE SACRAMENTO,HILTON LUIS FERRAZ DA SILVEIRA,1
BRUNA  HENRIQUE SACRAMENTO,ROBERTA  AVERNA VALENTE,1
BRUNA C. MELO,DANILO B. SEUFITELLI,1
BRUNA C. MELO,GABRIEL P. OLIVEIRA,1
BRUNA C. MELO,GABRIEL R. G. BARBOSA,1
BRUNA C. MELO,JULIANA E. BOTELHO,1
BRUNA C. MELO,MARIANA O. SILVA,1
BRUNA C. MELO,MIRELLA M. MORO,1
BRUNO B. CIFARELLI,RAFAEL G. L. MIANI,1
BRUNO C. SANTOS,CORA SILBERSCHNEIDER,1
BRUNO C. SANTOS,CRISTIANE N. NOBRE,1
BRUNO C. SANTOS,CRISTIANO L. N. PINTO,1
BRUNO C. SANTOS,LUIS ENRIQUE ZÁRATE,1
BRUNO C. SANTOS,MARCOS W. RODRIGUES,1
BRUNO CUNHA SÁ,DANIEL DE OLIVEIRA,1
BRUNO CUNHA SÁ,GUSTAVO MULLER,1
BRUNO CUNHA SÁ,ISABEL ROSSETI,1
BRUNO CUNHA SÁ,MAICON BANNI,1
BRUNO CUNHA SÁ,MARCOS LAGE,1
BRUNO CUNHA SÁ,WAGNER SANTOS,1
BRUNO CUNHA SÁ,YURI FROTA,1
BRUNO DE C. LEAL,JOSÉ ANTÔNIO FERNANDES DE MACEDO,1
BRUNO DE C. LEAL,MARCELO TILIO M. DE CARVALHO,1
BRUNO DE C. LEAL,MARCO ANTONIO CASANOVA,1
BRUNO DE C. LEAL,VALÉRIA CESÁRIO TIMES,1
BRUNO DE C. LEAL,VANIA MARIA P. VIDAL,1
BRUNO EDSON MARTINS DE ALBUQUERQUE FILHO,THIAGO LUÍS LOPES SIQUEIRA,1
BRUNO EDSON MARTINS DE ALBUQUERQUE FILHO,VALÉRIA CESÁRIO TIMES,1
BRUNO ERBISTI,JOÃO FELIPE PIMENTEL,1
BRUNO ERBISTI,VANESSA BRAGANHOLO,1
BRUNO ERBISTI,VITOR GAMA LEMOS,1
BRUNO LORENÇO LOPES,RUDINEI GOULARTE,1
BRUNO LORENÇO LOPES,TIAGO HENRIQUE TROJAHN,1
BRUNO NOVELLI,CLEBER DAMASCENO,1
BRUNO NOVELLI,GRETTEL M. GARCIA,1
BRUNO NOVELLI,LUIZ ANDRÉ P. PAES LEME,1
BRUNO NOVELLI,MARCO ANTONIO CASANOVA,1
BRUNO NOVELLI,MELISSA LEMOS,1
BRUNO NOVELLI,YENIER TORRES IZQUIERDO,1
BRUNO PADILHA,EDNILZA E S NARDI,1
BRUNO PADILHA,JOÃO EDUARDO FERREIRA,1
BRUNO PADILHA,LEONARDO TADASHI KAMAURA,1
BYRON L. D. BEZERRA,CARMELO J. A. BASTOS-FILHO,1
BYRON L. D. BEZERRA,JAILSON O. L. MAGALHAES,1
BYRON L. D. BEZERRA,KLEBER D. M. SILVA,1
BYRON L. D. BEZERRA,LUIZ F. V. VERCOSA,1
BYRON L. D. BEZERRA,RODRIGO C. LIRA,1
BYRON L. D. BEZERRA,RODRIGO P. MONTEIRO,1
BÁRBARA GABRIELLE C. O. LOPES,DANIEL HASAN DALIP,1
BÁRBARA GABRIELLE C. O. LOPES,SINVAL DE DEUS VIEIRA JÚNIOR,1
BÁRBARA M. A. MENDES,HENRIQUE HOTT,1
C. D. SILVA,V. S. MARTINS,1
C. M. SOUZA,M. E. SANTOS,1
C. M. SOUZA,M. R. G. MEIRELES,1
CAETANO TRAINA JÚNIOR,DANIEL YOSHINOBU TAKADA CHINO,1
CAETANO TRAINA JÚNIOR,ENZO SERAPHIM,1
CAETANO TRAINA JÚNIOR,FELIPE ALVES DA LOUZA,1
CAETANO TRAINA JÚNIOR,FELIPPE PIRES FERREIRA,1
CAETANO TRAINA JÚNIOR,GABRIEL SPADON,1
CAETANO TRAINA JÚNIOR,GABRIEL V. DE PIERRO,1
CAETANO TRAINA JÚNIOR,GUILHERME F. ZABOT,1
CAETANO TRAINA JÚNIOR,ILAN S. G. DE FIGUEIREDO,1
CAETANO TRAINA JÚNIOR,IRES DIAS,1
CAETANO TRAINA JÚNIOR,IVES R. V. POLA,1
CAETANO TRAINA JÚNIOR,JOSE F. RODRIGUES-JR,1
CAETANO TRAINA JÚNIOR,JURANDIR ZULLO JR.,1
CAETANO TRAINA JÚNIOR,LARISSA R. TEIXEIRA,1
CAETANO TRAINA JÚNIOR,LEEJAY WU,1
CAETANO TRAINA JÚNIOR,LUCAS S. RODRIGUES,1
CAETANO TRAINA JÚNIOR,MARIO A. NASCIMENTO,1
CAETANO TRAINA JÚNIOR,NATALIA DE FATIMA MARTINS,1
CAETANO TRAINA JÚNIOR,PAULO H. OLIVEIRA,1
CAETANO TRAINA JÚNIOR,PEDRO H. BUGATTI,1
CAETANO TRAINA JÚNIOR,RENATO BUENO,1
