Autor,Qtd_Artigos
BERNHARD MITSCHANG,2
CELSO A. SAIBEL SANTOS,2
CAROLINA R. XAVIER,2
MARCELO DE C. CARDOSO,2
MANOEL SIQUEIRA,2
MAICON BANNI,2
LUÍS P. F. GARCIA,2
LUCAS GABRIEL DA S. FELIX,2
KLAUS-DIETER SCHEWE,2
JÚLIO A. TAVARES,2
L. B. MARINHO,2
OSMAR R. ZAIANE,2
NÁDIA P. KOZIEVITCH,2
NÁDIA FÉLIX F. DA SILVA,2
MATHEUS SILVA MOTA,2
MARIO A. NASCIMENTO,2
MARIANA TASCA,2
MARIA CLÁUDIA CAVALCANTI,2
MARCELO TEIXEIRA,2
MARCO A. GUTIERREZ,2
MARCELO G. MANZATO,2
MARCELO GANEM,2
MARCOS LAGE,2
MARCOS DIDONET DEL FABRO,2
MARCUS VINÍCIUS ALVIM ANDRADE,2
MARIA LUIZA FALCI,2
KARY A. C. S. OCAÑA,2
LUCAS C. SCABORA,2
LOÏC CERF,2
LILIANE KUNSTMANN,2
LEONARDO O. MOREIRA,2
LEANDRO BALBY MARINHO,2
LEONARDO MURTA,2
LARISSA D. GOMIDE,2
LEANDRO BALBY,2
LUIZ M. L. PASCOAL,2
LUIZ ANDRÉ P. PAES LEME,2
LUCAS L. COSTA,2
RENATO DE S. SILVA,2
RAQUEL C. DE MELO-MINARDI,2
RAFAEL BOMFIM,2
PEDRO HOLANDA,2
PAULO R. P. AMORA,2
SOLANGE O. REZENDE,2
SIMONE D. J. BARBOSA,2
SANTIAGO AUGUSTO NUNES,2
SALATIEL DANTAS SILVA,2
RÉGIS EBELING,2
RODRIGO COSTA MATEUS,2
RODRIGO TRIPODI CALUMBY,2
ROGER GRANADA,2
RICHARD CHBEIR,2
RODRIGO C. BARROS,2
RAFAEL B. PEREIRA,2
PÁVEL CALADO,2
PEDRO O. S. VAZ DE MELO,2
RENATO BUENO,2
RENATO C. FERREIRA,2
THEO HAERDER,2
TIAGO RODRIGO KEPE,2
TICIANA LINHARES COELHO DA SILVA,2
THIAGO P. FALEIROS,2
THIAGO CARDOSO,2
STANLEY R. M. OLIVEIRA,2
TARLIS TORTELLI PORTELA,2
VANESSA LAGO MACHADO,2
VANIA BOGORNY,2
VITOR C. OLIVEIRA,2
VIRGÍLIO ALMEIDA,2
VINICIUS DA F. VIEIRA,2
VICTOR STRÖELE,2
WALLISON W. GUIMARÃES,2
WENDEL M. DE OLIVEIRA,2
YENIER TORRES IZQUIERDO,2
YVES LE TRAON,2
